date,state,unemploy_perc,house_price_perc,date_numeric,hpi,hpi_trend,hpi_detrended
1980-01-01,Alabama,7.3,0.06549678334007902,3652,50.544283218,53.38589818834397,0.9467721801679005
1980-02-01,Alabama,7.5,0.06187764282581254,3683,50.616511603,53.510434377329005,0.945918533310298
1980-03-01,Alabama,7.8,0.057640009562772265,3712,50.720998986,53.62719896314,0.9458073508717555
1980-04-01,Alabama,8.3,0.050998473213814455,3743,50.787162531,53.75229804756954,0.9448370465213327
1980-05-01,Alabama,8.8,0.04318249954965836,3773,50.861545191,53.87363952738557,0.9440896445309874
1980-06-01,Alabama,9.2,0.03935744140992359,3804,51.140138152,53.999313497126096,0.9470516352901733
1980-07-01,Alabama,9.5,0.04226457106198733,3834,51.684403608,54.12121259440731,0.9549749743290281
1980-08-01,Alabama,9.7,0.0480428263597934,3865,52.323260382,54.24746409130968,0.9645291491216834
1980-09-01,Alabama,9.7,0.05109137503329686,3896,52.769714892,54.37401010194715,0.970495183141004
1980-10-01,Alabama,9.6,0.04818820213598429,3926,52.804915302,54.49675504660908,0.968955220486759
1980-11-01,Alabama,9.6,0.038908559496718675,3957,52.433238225,54.623882591819836,0.9598958502604152
1980-12-01,Alabama,9.6,0.025878504310889783,3987,51.820168768,54.747191603485184,0.9465356532498582
1981-01-01,Alabama,9.6,0.012207905577346523,4018,51.161323055,54.8749033556763,0.9323264357003707
1981-02-01,Alabama,9.7,0.0011670530056144823,4049,50.675583755,55.002913028019485,0.9213254528752856
1981-03-01,Alabama,9.8,-0.0034915357256445345,4077,50.543904806,55.1187913143248,0.9169995132470214
1981-04-01,Alabama,9.9,2.2475108730546367e-4,4108,50.798577001,55.24736991737708,0.9194750279872094
1981-05-01,Alabama,10,0.009838759678275633,4138,51.361959711,55.37208640141994,0.9275785517390742
1981-06-01,Alabama,10.1,0.017849768087971007,4169,52.052977758,55.50125587970151,0.9378702685723792
1981-07-01,Alabama,10.3,0.019653890576049493,4199,52.700203221,55.62654549083832,0.9473930612800631
1981-08-01,Alabama,10.6,0.01646849731284017,4230,53.184945855,55.75630855968077,0.9538821207661476
1981-09-01,Alabama,11,0.011471655763896527,4261,53.375070896,55.88637433389323,0.9550641195134713
1981-10-01,Alabama,11.4,0.008073597724033377,4291,53.231240946,56.01253331889564,0.9503451779789902
1981-11-01,Alabama,11.8,0.007854644972197011,4322,52.845082696,56.14319680254298,0.9412553204239058
1981-12-01,Alabama,12.2,0.01163711370180609,4352,52.423205964,56.2699355435656,0.9316379245434292
1982-01-01,Alabama,12.5,0.02017820746915011,4383,52.193666846,56.401199483385525,0.9253999440450736
1982-02-01,Alabama,12.8,0.031073902505259987,4414,52.250271904,56.53276962973885,0.9242475160196988
1982-03-01,Alabama,13.1,0.03828771950698728,4442,52.479115656,56.651870966452606,0.9263439099315258
1982-04-01,Alabama,13.3,0.0378420754377069,4473,52.720900584,56.78402586781147,0.9284459806835448
1982-05-01,Alabama,13.6,0.030648010801326064,4503,52.936101607,56.912211228791065,0.9301360896731489
1982-06-01,Alabama,13.9,0.02093259966923866,4534,53.142581903,57.044973440042774,0.9315909658342748
1982-07-01,Alabama,14.2,0.011587447441885113,4564,53.310864056,57.17374786913144,0.9324360575071371
1982-08-01,Alabama,14.6,0.0035513477162305573,4595,53.373824091,57.3071201811321,0.9313646179096066
1982-09-01,Alabama,14.9,1.5475409889575964e-4,4626,53.383330907,57.44080361798064,0.9293625357687277
1982-10-01,Alabama,15.2,0.004516654218974514,4656,53.471668055,57.57047160178773,0.9288037177263553
