expedition_id,member_id,peak_id,peak_name,year,season,sex,age,citizenship,expedition_role,hired,highpoint_metres,success,solo,oxygen_used,died,death_cause,death_height_metres,injured,injury_type,injury_height_metres
EVER63101,EVER63101-03,EVER,Everest,1963,Spring,M,36,USA,Climber,FALSE,8300,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-04,EVER,Everest,1963,Spring,M,31,USA,Climber,FALSE,8850,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-05,EVER,Everest,1963,Spring,M,27,USA,Climber,FALSE,5800,FALSE,FALSE,FALSE,TRUE,Icefall collapse,5800,FALSE,NA,NA
EVER63101,EVER63101-06,EVER,Everest,1963,Spring,M,26,USA,Climber,FALSE,8300,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-07,EVER,Everest,1963,Spring,M,26,USA,Climber,FALSE,8400,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-08,EVER,Everest,1963,Spring,M,29,USA,Cameraman,FALSE,6250,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,Illness (non-AMS),6250
EVER63101,EVER63101-01,EVER,Everest,1963,Spring,M,44,USA/Switzerland,Leader,FALSE,8600,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-09,EVER,Everest,1963,Spring,M,37,USA,Climber,FALSE,7650,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-10,EVER,Everest,1963,Spring,M,32,USA,Climber,FALSE,8850,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-11,EVER,Everest,1963,Spring,M,26,USA,Climber,FALSE,8850,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-12,EVER,Everest,1963,Spring,M,34,USA,Climber,FALSE,6250,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-13,EVER,Everest,1963,Spring,M,42,USA,Scientist,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-14,EVER,Everest,1963,Spring,M,35,USA,Climber,FALSE,7950,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-15,EVER,Everest,1963,Spring,M,23,USA,Scientist,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-16,EVER,Everest,1963,Spring,M,27,USA,Climber,FALSE,5800,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,Icefall collapse,5800
EVER63101,EVER63101-17,EVER,Everest,1963,Spring,M,46,UK,Climber,FALSE,6250,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-02,EVER,Everest,1963,Spring,M,44,USA,Deputy Leader,FALSE,6250,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-18,EVER,Everest,1963,Spring,M,55,USA,Climber,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-19,EVER,Everest,1963,Spring,M,36,USA,Climber,FALSE,8850,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-20,EVER,Everest,1963,Spring,M,34,USA,Climber,FALSE,8850,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER63101,EVER63101-21,EVER,Everest,1963,Spring,M,26,India,H-A Worker,TRUE,8850,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER65101,EVER65101-03,EVER,Everest,1965,Spring,M,28,India,Climber,FALSE,8850,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
EVER65101,EVER65101-11,EVER,Everest,1965,Spring,M,27,India,Climber,FALSE,8850,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA
